zip_code,city,date,max_temp_f,min_temp_f,condition
90045,Los Angeles,2026-05-06,68.4,51.1,Sunny
90045,Los Angeles,2026-05-07,70.1,52.7,Sunny
90045,Los Angeles,2026-05-08,69.6,61.5,Sunny
90045,Los Angeles,2026-05-09,71.9,62.7,Sunny
90045,Los Angeles,2026-05-10,75.3,63.3,Sunny
90045,Los Angeles,2026-05-11,78.2,65.7,Sunny
90045,Los Angeles,2026-05-12,73.5,64.5,Sunny
10001,New York,2026-05-07,65.9,48.7,Moderate rain
10001,New York,2026-05-08,62.1,48.0,Patchy rain nearby
10001,New York,2026-05-09,61.2,51.9,Moderate rain
10001,New York,2026-05-10,72.3,52.4,Sunny
10001,New York,2026-05-11,63.5,51.0,Overcast
10001,New York,2026-05-12,66.3,47.8,Sunny
10001,New York,2026-05-13,61.2,51.0,Patchy rain nearby
60601,Chicago,2026-05-07,57.0,40.8,Patchy rain nearby
60601,Chicago,2026-05-08,57.4,45.5,Moderate rain
60601,Chicago,2026-05-09,70.6,46.2,Patchy rain nearby
60601,Chicago,2026-05-10,53.6,46.4,Partly Cloudy
60601,Chicago,2026-05-11,50.4,43.3,Sunny
60601,Chicago,2026-05-12,51.6,44.7,Patchy rain nearby
60601,Chicago,2026-05-13,65.5,52.1,Patchy rain nearby
98101,Seattle,2026-05-06,64.2,51.6,Overcast
98101,Seattle,2026-05-07,69.3,50.7,Overcast
98101,Seattle,2026-05-08,67.4,48.5,Partly Cloudy
98101,Seattle,2026-05-09,71.4,47.0,Cloudy
98101,Seattle,2026-05-10,71.6,48.8,Partly Cloudy
98101,Seattle,2026-05-11,67.3,49.9,Overcast
98101,Seattle,2026-05-12,71.9,47.0,Sunny
33101,Miami,2026-05-07,90.3,72.3,Sunny
33101,Miami,2026-05-08,85.9,79.1,Sunny
33101,Miami,2026-05-09,84.7,79.8,Sunny
33101,Miami,2026-05-10,84.6,80.3,Patchy rain nearby
33101,Miami,2026-05-11,86.1,80.5,Patchy rain nearby
33101,Miami,2026-05-12,84.1,78.3,Patchy rain nearby
33101,Miami,2026-05-13,81.6,77.6,Patchy rain nearby
77001,Houston,2026-05-07,79.1,64.8,Patchy rain nearby
77001,Houston,2026-05-08,83.4,71.9,Moderate rain
77001,Houston,2026-05-09,81.7,70.5,Moderate rain
77001,Houston,2026-05-10,91.7,68.1,Sunny
77001,Houston,2026-05-11,79.5,68.4,Patchy rain nearby
77001,Houston,2026-05-12,84.3,63.8,Sunny
77001,Houston,2026-05-13,84.8,67.1,Sunny
85001,Phoenix,2026-05-06,91.0,58.5,Sunny
85001,Phoenix,2026-05-07,92.5,58.1,Sunny
85001,Phoenix,2026-05-08,98.8,72.9,Sunny
85001,Phoenix,2026-05-09,101.3,77.6,Sunny
85001,Phoenix,2026-05-10,103.2,80.1,Sunny
85001,Phoenix,2026-05-11,106.3,83.0,Sunny
85001,Phoenix,2026-05-12,102.4,84.8,Sunny
19101,Philadelphia,2026-05-07,67.5,51.8,Moderate rain
19101,Philadelphia,2026-05-08,62.1,46.3,Partly Cloudy
19101,Philadelphia,2026-05-09,65.8,51.8,Moderate rain
19101,Philadelphia,2026-05-10,77.5,52.1,Patchy rain nearby
19101,Philadelphia,2026-05-11,62.8,52.4,Patchy rain nearby
19101,Philadelphia,2026-05-12,65.1,44.5,Sunny
19101,Philadelphia,2026-05-13,65.2,49.9,Patchy rain nearby
78201,San Antonio,2026-05-07,77.6,61.3,Patchy rain nearby
78201,San Antonio,2026-05-08,83.2,66.2,Moderate rain
78201,San Antonio,2026-05-09,89.5,64.5,Patchy rain nearby
78201,San Antonio,2026-05-10,95.1,68.5,Patchy rain nearby
78201,San Antonio,2026-05-11,83.1,65.5,Patchy rain nearby
78201,San Antonio,2026-05-12,85.3,62.2,Sunny
78201,San Antonio,2026-05-13,87.0,65.7,Sunny
92101,San Diego,2026-05-06,72.0,53.4,Sunny
92101,San Diego,2026-05-07,68.4,56.5,Sunny
92101,San Diego,2026-05-08,70.6,60.7,Sunny
92101,San Diego,2026-05-09,71.6,61.6,Sunny
92101,San Diego,2026-05-10,73.6,63.2,Sunny
92101,San Diego,2026-05-11,74.9,65.0,Sunny
92101,San Diego,2026-05-12,74.2,64.7,Sunny
75201,Dallas,2026-05-07,77.8,52.5,Sunny
75201,Dallas,2026-05-08,87.1,62.3,Patchy rain nearby
